player_id,team_id,p_firstname,p_lastname,p_age,p_nationality,season
14317,694,Kristal,Abazaj,28.0,Albania,2023
28476,694,Liridon,Latifi,30.0,Albania,2023
28588,694,Florent,Hasani,27.0,Kosovo,2023
74545,694,Gledi,Mici,33.0,Albania,2023
74663,694,Rimal,Haxhiu,25.0,Albania,2023
109588,694,Filip,Najdovski,32.0,North Macedonia,2023
200074,694,Patrick Robson,de Souza Monteiro,26.0,Brazil,2023
271840,694,Kainã,Nunes da Silva Amarante,27.0,Brazil,2023
290756,694,Dijar,Nikqi,20.0,Albania,2023
340693,694,Rigers,Sulaj,19.0,Albania,2023
343563,694,Tomas,Kiri,19.0,Albania,2023
390635,694,Melsi,Cereni,20.0,Albania,2023
397425,694,Hajrulla,Tola,20.0,Albania,2023
405942,694,Erlind,Qehaja,19.0,Albania,2023
426450,694,Dion,Ahmetaj,21.0,USA,2023
3469,694,Ardit,Hila,31.0,Albania,2023
3562,694,Gentian,Selmani,26.0,Albania,2023
3594,694,Bruno,Lulaj,29.0,Albania,2023
3617,694,Ilion,Lika,44.0,Albania,2023
3622,694,Erion,Hoxhallari,29.0,Albania,2023
315352,694,Klevi,Qefalija,21.0,Albania,2023
315990,694,Leon,Kozi,21.0,Albania,2023
338304,694,Leo,Ballhysa,20.0,Albania,2023
386260,694,Jordi,Jaku,18.0,Albania,2023
394920,694,Glenis,Belloj,18.0,Albania,2023
404566,694,Ermal,Meta,19.0,Albania,2023
405635,694,Mustafë,Abdullahu,20.0,Kosovo,2023
1751,708,Eros,Grezda,29.0,Albania,2023
3477,708,Bruno,Telushi,34.0,Albania,2023
3895,708,Xhuliano,Skuka,26.0,Albania,2023
56773,708,Victor Matheus,da Silva Matos,29.0,Brazil,2023
61288,708,Jozef,Menich,30.0,Slovakia,2023
109515,708,Sabit,Bilali,27.0,North Macedonia,2023
109589,708,Bekim,Redjepi,28.0,North Macedonia,2023
196502,708,Anxhelo,Ibrahimi,21.0,Albania,2023
282247,708,Galip,Arapi,22.0,Albania,2023
291531,708,Chandrel Géraud,Massanga Matondo,25.0,Congo,2023
315670,708,Mateo,Jaupllari,20.0,Albania,2023
321757,708,Mateo,Kocijan,29.0,Croatia,2023
330362,708,Fabian,Albano Shahaj,22.0,Albania,2023
338111,708,Xhafer,Hodo,21.0,Albania,2023
340945,708,Henri,Zuna,21.0,Albania,2023
373459,708,Ermir,Spahiu,22.0,Albania,2023
382274,708,Christian,Mba,25.0,Nigeria,2023
390633,708,Boid,Nako,19.0,Albania,2023
431893,708,Shkambi,Baruti,20.0,Kosovo,2023
431894,708,Rildi,Greca,20.0,Albania,2023
3530,708,Arinaldo,Rrapaj,23.0,Albania,2023
3895,708,Xhuliano,Skuka,26.0,Albania,2023
3911,708,Valentino,Murataj,28.0,Albania,2023
3955,708,Tedi,Cara,24.0,Albania,2023
4227,708,Eljon,Sota,26.0,Albania,2023
27247,708,Emiljano,Vila,36.0,Albania,2023
48587,708,Gjelbrim,Taipi,32.0,Kosovo,2023
280272,708,Alfred,Mensah,25.0,Ghana,2023
282899,708,Marçelino,Preka,21.0,Albania,2023
290619,708,Leart,Zekolli,23.0,Kosovo,2023
290783,708,Albers,Keko,23.0,Albania,2023
291978,708,Luis,Birçaj,21.0,Albania,2023
297954,708,Archange Dieudonne,Bintsouka Koxy,22.0,Congo,2023
334014,708,Maguette,Gueye,22.0,Senegal,2023
340944,708,Saliou Pape,Sembene,23.0,Senegal,2023
340945,708,Henri,Zuna,21.0,Albania,2023
373464,708,Redon,Ismaili,22.0,Kosovo,2023
382274,708,Christian,Mba,25.0,Nigeria,2023
382524,708,Endri,Çelaj,20.0,Albania,2023
390634,708,Gjergji,Kote,20.0,Albania,2023
3453,708,Alban,Hoxha,37.0,Albania,2023
3512,708,Pano,Qirko,25.0,Albania,2023
3713,708,Eneo,Bitri,28.0,Albania,2023
3902,708,Andi,Hadroj,25.0,Albania,2023
14332,708,Božo,Mikulić,27.0,Croatia,2023
74667,708,Altin,Bytyçi,23.0,Kosovo,2023
89063,708,Remzifaik,Selmani,27.0,North Macedonia,2023
109620,708,David,Atanaskoski,28.0,North Macedonia,2023
195759,708,Andi,Janjeva,22.0,Kosovo,2023
269597,708,Engjëll,Hoti,27.0,Kosovo,2023
295302,708,Adnard,Mehmeti,23.0,Kosovo,2023
350187,708,Klevis,Dragaj,21.0,Albania,2023
360423,708,Paulo,Buxhelaj,21.0,Albania,2023
407298,708,Skander,Tahri,19.0,Albania,2023
3495,2256,William,Cordeiro Melo,31.0,Brazil,2023
3551,2256,Klinti,Qato,27.0,Albania,2023
3586,2256,Fatmir,Prengaj,22.0,Albania,2023
3915,2256,Serxho,Ujka,26.0,Albania,2023
4139,2256,Isi,Manellari,26.0,Albania,2023
71578,2256,Florian,Trokthi,22.0,Albania,2023
