,player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season,month
85,3485,3320,2019-08-13 00:00:00,,,,,,2018.0,8
86,7917,680,2020-10-05 00:00:00,,,,,,2019.0,10
87,3510,2256,2022-08-20 00:00:00,,,,,,2021.0,8
88,74625,627,2018-07-01 00:00:00,,,,,,2017.0,7
89,65321,577,2021-08-31 00:00:00,,,,,,2020.0,8
90,97842,568,2015-08-01 00:00:00,,,,,,2014.0,8
91,3673,2261,2018-07-01 00:00:00,,,,,,2017.0,7
92,11073,577,2022-07-23 00:00:00,,,,,,2021.0,7
93,211245,3836,2013-01-31 00:00:00,,,,,,2012.0,1
94,7471,4627,2021-09-08 00:00:00,,,,,,2020.0,9
95,171562,577,2015-01-22 00:00:00,,,,,,2014.0,1
96,3504,1318,2019-08-20 00:00:00,,,,,,2018.0,8
97,74518,577,2014-06-01 00:00:00,,,,,,2013.0,6
98,74650,577,2018-01-31 00:00:00,,,,,,2017.0,1
99,164943,577,2013-07-01 00:00:00,,,,,,2012.0,7
100,3881,3326,2017-09-12 00:00:00,,,,,,2016.0,9
101,74584,3331,2016-07-25 00:00:00,,,,,,2015.0,7
102,211517,3324,2011-08-31 00:00:00,,,,,,2010.0,8
103,211699,577,2014-01-27 00:00:00,,,,,,2013.0,1
104,210379,577,2014-08-01 00:00:00,,,,,,2013.0,8
106,74090,1424,2015-07-20 00:00:00,,,,,,2014.0,7
107,3493,12772,2019-08-16 00:00:00,,,,,,2018.0,8
108,74164,3319,2013-08-31 00:00:00,,,,,,2012.0,8
109,74133,3836,2015-08-22 00:00:00,,,,,,2014.0,8
110,74572,577,2016-02-01 00:00:00,,,,,,2015.0,2
111,74493,2256,2017-01-31 00:00:00,,,,,,2016.0,1
112,74326,3839,2016-02-04 00:00:00,,,,,,2015.0,2
113,74585,577,2015-08-02 00:00:00,,,,,,2014.0,8
115,74596,15573,2018-08-20 00:00:00,,,,,,2017.0,8
116,74597,577,2015-07-01 00:00:00,,,,,,2014.0,7
117,74444,3320,2015-08-31 00:00:00,,,,,,2014.0,8
118,74551,577,2011-08-31 00:00:00,,,,,,2010.0,8
119,111255,577,2017-08-28 00:00:00,,,,,,2016.0,8
120,116651,577,2014-01-27 00:00:00,,,,,,2013.0,1
121,74538,3318,2018-01-06 00:00:00,,,,,,2017.0,1
122,3744,3339,2014-01-31 00:00:00,,,,,,2013.0,1
124,74327,3838,2013-01-31 00:00:00,,,,,,2012.0,1
125,74576,4671,2014-08-15 00:00:00,,,,,,2013.0,8
126,58367,1941,2015-01-01 00:00:00,,,,,,2014.0,1
127,3494,3153,2020-07-23 00:00:00,,,,,,2019.0,7
128,3612,14392,2022-08-13 00:00:00,,,,,,2021.0,8
129,56779,4619,2021-01-23 00:00:00,,,,,,2020.0,1
130,319520,577,2022-07-07 00:00:00,,,,,,2021.0,7
131,59537,577,2023-01-31 00:00:00,,,,,,2022.0,1
132,406158,3322,2023-07-17 00:00:00,,,,,,2022.0,7
133,406254,3323,2023-01-31 00:00:00,,,,,,2022.0,1
135,421919,3336,2023-08-15 00:00:00,,,,,,2022.0,8
136,406157,577,2023-01-31 00:00:00,,,,,,2022.0,1
145,292224,3340,2022-08-09 00:00:00,,,,,,2021.0,8
146,74093,3319,2015-09-12 00:00:00,,,,,,2014.0,9
172,3507,3337,2019-09-01 00:00:00,,,,,,2018.0,9
173,3532,3336,2021-09-04 00:00:00,,,,,,2020.0,9
174,420155,3324,2023-08-01 00:00:00,,,,,,2022.0,8
178,292223,3322,2022-07-07 00:00:00,,,,,,2021.0,7
179,74500,3318,2016-09-20 00:00:00,,,,,,2015.0,9
180,3868,3322,2017-09-14 00:00:00,,,,,,2016.0,9
181,152713,10720,2022-08-31 00:00:00,,,,,,2021.0,8
182,3791,3329,2020-08-22 00:00:00,,,,,,2019.0,8
183,147803,3331,2023-08-30 00:00:00,,,,,,2022.0,8
184,3951,3836,2013-08-30 00:00:00,,,,,,2012.0,8
185,74427,3836,2013-08-30 00:00:00,,,,,,2012.0,8
188,3632,694,2017-09-04 00:00:00,,,,,,2016.0,9
191,3633,3339,2017-07-29 00:00:00,,,,,,2016.0,7
192,3689,3318,2017-08-31 00:00:00,,,,,,2016.0,8
193,4310,3336,2022-08-15 00:00:00,,,,,,2021.0,8
230,74544,577,2012-07-01 00:00:00,,,,,,2011.0,7
232,3500,3331,2020-10-07 00:00:00,,,,,,2019.0,10
235,74562,577,2015-07-01 00:00:00,,,,,,2014.0,7
236,67260,2206,2017-01-01 00:00:00,,,,,,2016.0,1
237,78074,3319,2014-01-31 00:00:00,,,,,,2013.0,1
238,25843,3885,2017-06-15 00:00:00,,,,,,2016.0,6
242,3609,4552,2023-07-04 00:00:00,,,,,,2022.0,7
243,24639,685,2021-08-01 00:00:00,,,,,,2020.0,8
247,3940,3885,2018-01-25 00:00:00,,,,,,2017.0,1
249,43044,4801,2023-01-01 00:00:00,,,,,,2022.0,1
250,91431,957,2023-07-01 00:00:00,,,,,,2022.0,7
251,106216,577,2013-01-30 00:00:00,,,,,,2012.0,1
252,14500,2256,2020-10-01 00:00:00,,,,,,2019.0,10
256,80162,148,2023-04-06 00:00:00,,,,,,2022.0,4
257,80698,142,2017-01-02 00:00:00,,,,,,2016.0,1
258,127580,577,2022-08-24 00:00:00,,,,,,2021.0,8
260,16200,4322,2021-06-21 00:00:00,,,,,,2020.0,6
281,7476,1397,2022-01-24 00:00:00,,,,,,2021.0,1
282,66105,577,2018-07-01 00:00:00,,,,,,2017.0,7
283,87027,648,2019-02-02 00:00:00,,,,,,2018.0,2
284,55892,2589,2021-07-01 00:00:00,,,,,,2020.0,7
285,80099,4196,2020-02-01 00:00:00,,,,,,2019.0,2
286,14635,4659,2023-02-19 00:00:00,,,,,,2022.0,2
288,125709,577,2020-01-31 00:00:00,,,,,,2019.0,1
289,11003,577,2022-08-15 00:00:00,,,,,,2021.0,8
290,3492,2589,2020-01-20 00:00:00,,,,,,2019.0,1
292,4016,3332,2015-09-11 00:00:00,,,,,,2014.0,9
293,3987,2261,2010-09-01 00:00:00,,,,,,2009.0,9
294,7282,1396,2017-07-01 00:00:00,,,,,,2016.0,7
295,93757,605,2020-01-31 00:00:00,,,,,,2019.0,1
296,211635,374,2011-01-01 00:00:00,,,,,,2010.0,1
297,145730,4346,2020-09-02 00:00:00,,,,,,2019.0,9
298,74594,4132,2016-07-01 00:00:00,,,,,,2015.0,7
299,199633,4633,2022-03-29 00:00:00,,,,,,2021.0,3
300,29772,2733,2019-01-06 00:00:00,,,,,,2018.0,1
301,110200,666,2015-07-01 00:00:00,,,,,,2014.0,7
302,4242,3334,2016-09-20 00:00:00,,,,,,2015.0,9
303,3784,3319,2020-01-24 00:00:00,,,,,,2019.0,1
304,3770,694,2020-08-15 00:00:00,,,,,,2019.0,8
305,3625,694,2013-08-30 00:00:00,,,,,,2012.0,8
306,4093,3320,2014-07-01 00:00:00,,,,,,2013.0,7
307,3899,605,2020-10-02 00:00:00,,,,,,2019.0,10
308,147958,9787,2020-11-06 00:00:00,,,,,,2019.0,11
309,180983,9809,2019-11-30 00:00:00,,,,,,2018.0,11
310,3610,3749,2019-07-01 00:00:00,,,,,,2018.0,7
311,4297,3325,2010-07-01 00:00:00,,,,,,2009.0,7
312,3627,605,2019-08-08 00:00:00,,,,,,2018.0,8
313,137453,605,2019-08-31 00:00:00,,,,,,2018.0,8
314,166369,2261,2013-01-30 00:00:00,,,,,,2012.0,1
315,210840,2261,2015-02-05 00:00:00,,,,,,2014.0,2
316,210954,3328,2011-08-31 00:00:00,,,,,,2010.0,8
317,211793,3382,2012-01-16 00:00:00,,,,,,2011.0,1
318,211801,3838,2015-09-01 00:00:00,,,,,,2014.0,9
319,211737,605,2012-08-31 00:00:00,,,,,,2011.0,8
320,105663,680,2018-06-01 00:00:00,,,,,,2017.0,6
321,3930,3322,2017-09-01 00:00:00,,,,,,2016.0,9
322,290561,12772,2021-01-30 00:00:00,,,,,,2020.0,1
323,301684,605,2021-01-31 00:00:00,,,,,,2020.0,1
324,284891,12250,2021-02-22 00:00:00,,,,,,2020.0,2
325,74673,2599,2019-10-07 00:00:00,,,,,,2018.0,10
326,134077,4333,2011-07-01 00:00:00,,,,,,2010.0,7
327,3595,1019,2019-08-28 00:00:00,,,,,,2018.0,8
328,3529,3321,2015-01-31 00:00:00,,,,,,2014.0,1
