name,firstname,lastname,age,team_id,league_id
J. Wadham,Jack,Wadham,20,35,39
M. Kinsey-Wellings,Maxwell,Kinsey-Wellings,18,35,39
F. Okoh,Ferdinand,Okoh,19,35,39
Michael Dacosta,Michael,Dacosta Gonzales,18,35,39
Aymeric Laporte,Aymeric Jean Louis Gérard Alph,Laporte,29,50,39
José Sá,José Pedro,Malheiro de Sá,30,39,39
J. Gbamin,Jean-Philippe,Gbamin,28,45,39
T. Awoniyi,Taiwo Micheal,Awoniyi,26,65,39
I. Hayden,Isaac Scott,Hayden,28,34,39
H. Arter,Harry Nicholas,Arter,34,65,39
S. McKenna,Scott,Fraser McKenna,27,65,39
N. Patterson,Nathan Kenneth,Patterson,22,45,39
J. Hillson,James Andrew,Hillson,22,42,39
B. Knight,Benjamin Leo,Knight,21,50,39
G. Wickens,George Alexander,Wickens,22,36,39
T. Fornah,Tyrese Momodu,Fornah,24,65,39
A. Hackford,Antwoine,Hackford,19,62,39
L. Sousa,Lino Gonçalo,da Cruz Sousa,18,42,39
E. Nwaneri,Ethan Chidiebere,Nwaneri,16,42,39
C. Sayers,Charlie,Sayers,19,47,39
A. Francis-Clarke,Aidan,Francis-Clarke,18,1359,39
E. Pollock,Euan,Pollock,21,35,39
A. Harris,Aidan,Harris,17,34,39
S. Sachdev,Sai Sachin Rony,Sachdev,19,62,39
S. Amrabat,Sofyan,Amrabat,27,33,39
N. Zaniolo,Nicolò,Zaniolo,24,66,39
Bruno Fernandes,Bruno Miguel,Borges Fernandes,29,33,39
K. Tsimikas,Konstantinos,Tsimikas,27,40,39
Carlos Gomes,Carlos Mendes,Gomes,25,1359,39
J. Weir,Jensen Guy,Weir,21,51,39
M. Rodák,Marek,Rodák,27,36,39
A. Radu,Ionuț Andrei,Radu,26,35,39
M. Mudryk,Mykhailo,Mudryk,22,49,39
C. Gallagher,Conor John,Gallagher,23,49,39
K. Balmer,Kofi,Balmer,23,52,39
A. Muskwe,Admiral Dalindlela,Muskwe,25,1359,39
C. Palmer,Cole Jermaine,Palmer,21,"49, 50",39
V. Sinisalo,Viljami Kari Veikko,Sinisalo,22,66,39
A. Okonkwo,Arthur Chukwuezugo,Okonkwo,22,42,39
A. Devine,Alfie Sean,Devine,19,47,39
C. Savage,Charlie William Henry,Savage,20,33,39
D. Gore,Daniel,Gore,19,33,39
O. Arblaster,Oliver Luke,Arblaster,19,62,39
R. Trevitt,Ryan,Trevitt,20,55,39
Felipe,Felipe Augusto,de Almeida Monteiro,34,65,39
B. Aguilera,Brandon,Aguilera Zamora,20,65,39
C. Ogbene,Chiedozie Somkelechukwu,Ogbene,26,1359,39
