team_id,player_id,p_firstname,p_lastname,p_age,p_nationality,season
577,3953,Geri,Selita,23,Albania,2023
577,27028,Franko,Lamçe,26,Albania,2023
577,27386,Stefan,Abara,25,Albania,2023
577,31839,Vasilios,Zogos,25,Greece,2023
577,39402,Sebastián Milton,La Torre Miranda,26,Peru,2023
577,41828,Felipe Ryan,Alves Silva,27,Brazil,2023
577,145742,Redi,Veriu,24,Albania,2023
577,147807,Endri,Reçi,24,Albania,2023
577,152724,Xhoi,Hajdëraj,24,Albania,2023
577,169199,Kleandro,Lleshi,25,Albania,2023
577,189040,Nikolin,Duka,24,Albania,2023
577,204200,Angelo,Tafas,24,Albania,2023
577,290149,Françesko,Hasaj,23,Albania,2023
577,311563,Kristian,Rroku,21,Albania,2023
577,334754,Eogen,Sula,21,Albania,2023
577,364307,Marvin,Brozi,23,Albania,2023
577,405938,Igli,Çulaj,22,Albania,2023
577,438173,Alvin,Mehmetaj,20,Albania,2023
577,3508,Fluturim,Domi,24,Albania,2023
577,3692,Arbër,Basha,26,Albania,2023
577,295287,Melos,Zenunaj,24,Kosovo,2023
577,404516,Alen,Ndreu,20,Albania,2023
577,405233,Erduan,Smajli,21,Switzerland,2023
3326,3559,Lorenco,Vila,26,Albania,2023
3326,3582,Erisildo,Smaçi,26,Albania,2023
3326,3702,Ersil,Ymeri,29,Albania,2023
3326,4174,Redon,Danaj,24,Albania,2023
3326,30945,Luca,Crosta,25,Italy,2023
3326,56682,Dávid,Ivan,28,Slovakia,2023
3326,90368,Luis,Kaçorri,26,Albania,2023
3326,125248,Ali,Samake,24,Mali,2023
3326,147810,Xhoel,Plaku,23,Albania,2023
3326,215855,Veton,Tusha,22,Kosovo,2023
3326,278842,Ardit,Tahiri,22,Kosovo,2023
3326,315352,Klevi,Qefalija,21,Albania,2023
3326,338304,Leo,Ballhysa,20,Albania,2023
3326,343568,Oresti,Kasmollari,18,Albania,2023
3326,368531,Alisio,Preloshi,20,Albania,2023
3326,384604,Sinan,Dani,20,Albania,2023
3326,404516,Alen,Ndreu,19,Albania,2023
3326,405512,Igli,Rrapi,19,Albania,2023
3326,405517,Fabjan,Përndreca,17,Albania,2023
3326,406275,Amarildo,Gjoni,25,Albania,2023
3326,3561,Edmir,Sali,27,Albania,2023
3326,3651,Rustem,Hoxha,33,Albania,2023
3326,3704,Patrik,Bardhi,26,Albania,2023
3326,3765,Ilir,Allmuça,28,Albania,2023
3326,3903,Stivian,Janku,27,Albania,2023
3326,15428,Lorran,de Oliveira Quintanilha,28,Brazil,2023
3326,26804,Fatjon,Andoni,33,Albania,2023
3326,41978,José Denisson,Silva dos Santos,27,Brazil,2023
3326,74658,Indrit,Prodani,26,Albania,2023
3326,109589,Bekim,Redjepi,28,North Macedonia,2023
3326,137402,Jorgo,Meksi,29,Albania,2023
3326,162303,Silvio,Vokrri,23,Albania,2023
3326,162961,Mory,Bamba,22,Côte d'Ivoire,2023
3326,182019,Alesio,Mija,23,Albania,2023
3326,196342,Albion,Marku,24,Albania,2023
3326,297693,Jocelin,Behiratche,24,Côte d'Ivoire,2023
3326,408471,Karamba,Gassama,19,Gambia,2023
3326,436866,Rajan,Guci,18,Albania,2023
3326,436867,Bakary,Goudiaby,23,Senegal,2023
3326,454730,Kilian,Çuni,25,Germany,2023
3326,13183,Juan Camilo,Mesa Antúnez,26,Colombia,2023
3326,278744,Baton,Zabërgja,23,Kosovo,2023
3326,386260,Jordi,Jaku,18,Albania,2023
3326,391965,Dejvi,Duro,18,Albania,2023
3326,426282,Blend,Krasniqi,20,Kosovo,2023
