player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season
74518,577,2014-06-01 00:00:00,,,,,,2013.0
74650,577,2018-01-31 00:00:00,,,,,,2017.0
164943,577,2013-07-01 00:00:00,,,,,,2012.0
3881,3326,2017-09-12 00:00:00,,,,,,2016.0
74584,3331,2016-07-25 00:00:00,,,,,,2015.0
211517,3324,2011-08-31 00:00:00,,,,,,2010.0
211699,577,2014-01-27 00:00:00,,,,,,2013.0
210379,577,2014-08-01 00:00:00,,,,,,2013.0
74090,1424,2015-07-20 00:00:00,,,,,,2014.0
3493,12772,2019-08-16 00:00:00,,,,,,2018.0
74164,3319,2013-08-31 00:00:00,,,,,,2012.0
74133,3836,2015-08-22 00:00:00,,,,,,2014.0
74572,577,2016-02-01 00:00:00,,,,,,2015.0
74493,2256,2017-01-31 00:00:00,,,,,,2016.0
74326,3839,2016-02-04 00:00:00,,,,,,2015.0
74585,577,2015-08-02 00:00:00,,,,,,2014.0
74596,15573,2018-08-20 00:00:00,,,,,,2017.0
74597,577,2015-07-01 00:00:00,,,,,,2014.0
74444,3320,2015-08-31 00:00:00,,,,,,2014.0
74551,577,2011-08-31 00:00:00,,,,,,2010.0
111255,577,2017-08-28 00:00:00,,,,,,2016.0
116651,577,2014-01-27 00:00:00,,,,,,2013.0
74538,3318,2018-01-06 00:00:00,,,,,,2017.0
3744,3339,2014-01-31 00:00:00,,,,,,2013.0
74327,3838,2013-01-31 00:00:00,,,,,,2012.0
74576,4671,2014-08-15 00:00:00,,,,,,2013.0
58367,1941,2015-01-01 00:00:00,,,,,,2014.0
3494,3153,2020-07-23 00:00:00,,,,,,2019.0
3612,14392,2022-08-13 00:00:00,,,,,,2021.0
56779,4619,2021-01-23 00:00:00,,,,,,2020.0
319520,577,2022-07-07 00:00:00,,,,,,2021.0
59537,577,2023-01-31 00:00:00,,,,,,2022.0
406158,3322,2023-07-17 00:00:00,,,,,,2022.0
406254,3323,2023-01-31 00:00:00,,,,,,2022.0
421919,3336,2023-08-15 00:00:00,,,,,,2022.0
406157,577,2023-01-31 00:00:00,,,,,,2022.0
292224,3340,2022-08-09 00:00:00,,,,,,2021.0
74093,3319,2015-09-12 00:00:00,,,,,,2014.0
3507,3337,2019-09-01 00:00:00,,,,,,2018.0
3532,3336,2021-09-04 00:00:00,,,,,,2020.0
420155,3324,2023-08-01 00:00:00,,,,,,2022.0
292223,3322,2022-07-07 00:00:00,,,,,,2021.0
74500,3318,2016-09-20 00:00:00,,,,,,2015.0
3868,3322,2017-09-14 00:00:00,,,,,,2016.0
152713,10720,2022-08-31 00:00:00,,,,,,2021.0
3791,3329,2020-08-22 00:00:00,,,,,,2019.0
147803,3331,2023-08-30 00:00:00,,,,,,2022.0
3951,3836,2013-08-30 00:00:00,,,,,,2012.0
74427,3836,2013-08-30 00:00:00,,,,,,2012.0
3632,694,2017-09-04 00:00:00,,,,,,2016.0
3633,3339,2017-07-29 00:00:00,,,,,,2016.0
3689,3318,2017-08-31 00:00:00,,,,,,2016.0
4310,3336,2022-08-15 00:00:00,,,,,,2021.0
74544,577,2012-07-01 00:00:00,,,,,,2011.0
3500,3331,2020-10-07 00:00:00,,,,,,2019.0
74562,577,2015-07-01 00:00:00,,,,,,2014.0
67260,2206,2017-01-01 00:00:00,,,,,,2016.0
78074,3319,2014-01-31 00:00:00,,,,,,2013.0
