,player_id,team_id
0,1751,[708]
1,1832,[605]
2,3495,[2256]
3,3508,[577]
4,3539,[605]
5,3551,[2256]
6,3576,[694]
7,3578,[694]
8,3579,[694]
9,3586,[2256]
10,3597,[605]
11,3615,[605]
12,3713,[708]
13,3895,[708]
14,3915,[2256]
15,4139,[2256]
16,4353,[605]
17,14317,[694]
18,28476,[694]
19,28588,[694]
20,32361,[605]
21,39402,[577]
22,56773,[708]
23,61288,[708]
24,71578,[2256]
25,74636,[605]
26,74663,[694]
27,74667,[577]
28,88597,[577]
29,89063,[708]
30,109515,[708]
31,109578,[605]
32,109588,[694]
33,128188,"[577, 2256]"
34,145742,[577]
35,152714,[605]
36,152715,[2256]
37,152724,[577]
38,156439,[577]
39,156919,[2256]
40,157998,[2256]
41,163432,[577]
42,189040,[2256]
43,196502,[708]
44,200074,[694]
45,204066,[605]
46,269597,[708]
47,271840,[694]
48,280272,[708]
49,282247,[708]
50,290151,[605]
51,290756,[694]
52,290767,[605]
53,291531,[708]
54,302089,[2256]
55,314303,[605]
56,315352,[694]
57,321757,[708]
58,321770,[605]
59,330362,[708]
60,334505,[577]
61,338111,[708]
62,338304,[694]
63,340693,[694]
64,343546,[2256]
65,343563,[694]
66,344263,[2256]
67,347708,[577]
68,348209,[2256]
69,350187,[708]
70,363898,[605]
71,364307,[577]
72,368910,[605]
73,382272,[605]
74,382274,[708]
75,385745,[605]
76,386260,[694]
77,388991,[2256]
78,390633,[708]
79,390635,[694]
80,397425,[694]
81,401059,[577]
82,404516,[577]
83,405233,[577]
84,405939,[2256]
85,405942,[694]
86,406255,[577]
87,406273,[2256]
88,426450,[694]
89,426740,[577]
90,431893,[708]
91,431894,[708]
92,435254,[577]
93,435256,[2256]
94,435257,[2256]
95,436466,[577]
96,436467,[577]
97,444167,[605]
98,452230,[605]
